INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,SMA_5,SMA_10,RSI_14,MACD,MACD_Signal
,BANDHANBNK,29-Aug-24,0.0,XX,194.3,194.3,175.65,181.0,181.0,160,823.79,613200,338800,4-Jun-24,253.83000000000038,1699.0899999999997,41.191969199866264,-896.516940218746,-454.6457240935637
,BANKBARODA,27-Jun-24,0.0,XX,294.5,294.5,225.65,248.75,248.75,48838,375890.57,155416950,-15806700,4-Jun-24,230.14000000000038,1063.5949999999998,41.482319074941294,-938.6707022010896,-551.4507197150689
,BANKBARODA,25-Jul-24,0.0,XX,293.0,294.0,240.55,250.8,250.8,3942,30186.34,3483675,500175,4-Jun-24,207.70000000000036,797.74,41.491732149358505,-960.8365191137398,-633.3278795948031
,BANKBARODA,29-Aug-24,0.0,XX,292.85,293.1,242.5,253.6,253.6,416,3251.12,623025,427050,4-Jun-24,222.79000000000036,531.63,41.50557252042292,-967.0298341408732,-700.0682705040172
,BATAINDIA,27-Jun-24,0.0,XX,1378.3,1378.3,1269.9,1339.1,1339.1,7263,36312.44,3437625,-391875,4-Jun-24,454.6500000000004,372.53999999999996,46.76330030607445,-874.2692708813238,-734.9084705794785
,BATAINDIA,25-Jul-24,0.0,XX,1386.8,1386.8,1277.95,1345.95,1345.95,807,4043.15,245250,2250,4-Jun-24,687.6400000000003,470.735,46.79579967662047,-791.0839945853083,-746.1435753806445
,BATAINDIA,29-Aug-24,0.0,XX,1377.0,1377.0,1269.0,1348.85,1348.85,159,795.57,41625,10125,4-Jun-24,907.6600000000004,568.9,46.81060374204419,-716.6638038168028,-740.2476210678761
,BEL,27-Jun-24,0.0,XX,310.3,314.0,230.05,256.4,256.4,86992,675091.11,114957600,-6175950,4-Jun-24,908.7800000000003,558.24,42.06251756110819,-737.337286219634,-739.6655540982277
,BEL,25-Jul-24,0.0,XX,315.55,315.55,233.4,258.3,258.3,11166,86588.84,9063000,2413950,4-Jun-24,909.7200000000005,566.2549999999999,42.07352251394644,-744.9801879743352,-740.7284808734493
,BEL,29-Aug-24,0.0,XX,315.6,320.95,239.05,261.25,261.25,1002,7909.14,2319900,951900,4-Jun-24,694.1500000000003,574.4,42.0919141715748,-742.2430860673421,-741.0314019122278
,BERGEPAINT,27-Jun-24,0.0,XX,475.25,475.25,441.1,457.65,457.65,5492,33359.76,25982880,403920,4-Jun-24,516.4900000000005,602.065,43.38079183133226,-715.9727858716373,-736.0196787041097
,BERGEPAINT,25-Jul-24,0.0,XX,468.0,468.9,437.25,457.1,457.1,487,2958.17,1339800,14520,4-Jun-24,338.1400000000004,622.9,43.37788013083662,-687.2752824605108,-726.2707994553899
,BERGEPAINT,29-Aug-24,0.0,XX,465.0,466.0,438.0,454.0,454.0,66,397.69,130680,31680,4-Jun-24,377.6600000000004,643.22,43.360214695798014,-657.2065799878559,-712.4579555618831
,BHARATFORG,27-Jun-24,0.0,XX,1624.75,1624.75,1420.0,1452.1,1452.1,11014,82897.38,5801500,454500,4-Jun-24,616.4200000000003,763.0699999999999,50.36848141105711,-546.5384332644044,-679.2740511023874
,BHARATFORG,25-Jul-24,0.0,XX,1603.9,1611.55,1428.45,1454.2,1454.2,724,5472.63,92000,14500,4-Jun-24,855.0100000000004,774.58,50.38239229625854,-453.4367407230744,-634.1065890265248
,BHARATFORG,29-Aug-24,0.0,XX,1601.6,1604.95,1446.2,1467.45,1467.45,41,312.57,40500,1500,4-Jun-24,1056.9700000000005,786.73,50.47670885976924,-374.2694688947039,-582.1391650001607
,BHARTIARTL,27-Jun-24,0.0,XX,1396.8,1400.0,1228.9,1301.15,1301.15,59441,369919.98,39598850,-566200,4-Jun-24,1225.7800000000004,781.96,49.212301889535254,-321.24474630672466,-529.9602812614735
,BHARTIARTL,25-Jul-24,0.0,XX,1395.65,1402.6,1239.6,1308.05,1308.05,1871,11650.76,371925,142975,4-Jun-24,1396.5900000000006,887.125,49.26908381054045,-275.48982409327414,-479.0661898278336
,BHARTIARTL,29-Aug-24,0.0,XX,1395.75,1407.95,1258.3,1316.4,1316.4,59,371.68,17100,8550,4-Jun-24,1369.4500000000003,992.9349999999998,49.34289360544083,-235.83636852326822,-430.4202255669205
,BHEL,27-Jun-24,0.0,XX,310.0,311.0,219.6,247.05,247.05,54416,377035.93,71205750,892500,4-Jun-24,1128.0200000000004,991.515,41.09649761173662,-287.38552591402424,-401.8132856363413
,BHEL,25-Jul-24,0.0,XX,310.65,310.8,227.9,248.5,248.5,4305,29619.15,3496500,1081500,4-Jun-24,884.2300000000002,970.6,41.11086929135513,-324.38232414422873,-386.32709333791877
